id,documentation,thriller,sport,history,scifi,european,romance,horror,war,action,crime,reality,animation,family,drama,fantasy,comedy,western,music
ts300399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tm84618,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
tm154986,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
tm127384,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
tm120801,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
ts22164,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
tm70993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm14873,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
tm119281,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
tm98978,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
tm44204,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
tm67378,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
tm69997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm16479,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
tm135083,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
tm89386,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tm156453,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
tm14350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tm81728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tm94651,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
tm27298,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
tm100027,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0
tm19608,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
tm204541,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
tm259855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tm356209,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ts45948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm200475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
tm90896,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
tm336403,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
tm107372,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
tm358653,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
tm259684,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tm403346,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tm16812,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
ts20681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tm155787,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
tm22327,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
tm180542,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
tm138875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
tm2386,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tm133087,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
tm177480,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
tm54450,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ts22082,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
ts21715,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1
ts20678,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
