id,imdb_id,imdb_score,imdb_votes,tmdb_score,tmdb_popularity
ts300399,,,,,0.6
tm84618,tt0075314,8.2,828210,6.3,40.965
tm154986,tt0068473,7.7,110419,7.3,10.01
tm127384,tt0071853,8.2,541422,7.811,15.461
tm120801,tt0061578,7.7,74274,5.2,20.398
ts22164,tt0063929,8.8,74504,0.0,17.617
tm70993,tt0079470,8.0,400098,5.1,17.77
tm14873,tt0066999,7.7,157695,5.9,12.817
tm119281,tt0061418,7.7,113833,4.8,15.687
tm98978,tt0080453,5.8,71165,6.156,50.324
tm44204,tt0054953,7.5,51828,6.0,13.844
tm67378,tt0060862,7.3,16913,6.8,13.123
tm69997,tt0079807,8.0,5370,7.5,4.718
tm16479,tt0047673,7.5,42858,7.2,8.915
tm135083,tt0051390,7.5,4689,7.3,5.546
tm89386,tt0191182,7.5,2582,4.7,4.305
tm156453,tt0068562,6.3,425,7.3,1.268
tm14350,tt0077751,7.2,1817,5.3,1.37
tm81728,tt0064038,8.1,2085,7.8,1.265
tm94651,tt0080653,6.4,1020,4.9,3.98
tm27298,tt0057357,7.6,2580,5.6,4.156
tm100027,tt0079749,6.2,580,4.2,2.582
tm19608,tt0047500,7.2,1342,7.0,2.184
tm204541,tt0049761,6.7,662,5.9,0.849
tm259855,tt0170799,6.3,52,5.3,0.6
tm356209,tt0268639,6.5,91,0.0,0.792
ts45948,tt0202477,8.1,2178,7.0,1.487
tm200475,tt0169599,6.5,115,7.8,1.025
tm90896,tt0074168,7.2,836,5.3,1.858
tm336403,tt0230412,5.1,47,7.0,1.948
tm107372,tt0071811,6.5,250,4.0,1.532
tm358653,tt0157132,6.7,86,0.0,0.84
tm259684,tt0170803,7.8,79,0.0,0.6
tm403346,tt3290368,4.5,18,6.3,0.62
tm16812,tt1219315,4.8,36,6.0,1.166
ts20681,tt0098904,8.9,318018,0.0,130.213
tm155787,tt0099685,8.7,1154285,8.463,50.387
tm22327,tt0093058,8.3,741146,6.2,32.937
tm180542,tt0087843,8.3,351969,8.453,28.937
tm138875,tt0098635,7.7,221594,3.8,15.123
tm2386,tt0087800,7.4,241775,6.0,48.358
tm133087,tt0098384,7.3,56683,7.2,11.69
tm177480,tt0087928,6.7,127481,6.6,25.533
tm54450,tt0085333,6.7,84658,6.8,23.418
ts22082,tt0083437,6.9,34887,8.0,50.267
ts21715,tt0086815,6.5,5324,0.0,42.196
ts20678,tt0096694,7.1,35505,0.0,19.855
tm145608,tt0099077,7.8,142574,7.8,12.23
ts25028,tt0072584,6.7,3243,0.0,5.935
tm147710,tt0097958,7.5,188517,7.2,18.862
tm142895,tt0097722,7.4,21266,5.7,19.449
tm20712,tt0092948,7.6,19913,5.3,7.992
tm117580,tt0091939,6.8,14818,6.707,7.416
ts23753,tt0096643,6.5,2999,0.0,9.849
tm130586,tt0082329,4.9,8753,0.0,19.116
ts987,tt0081848,7.4,3617,5.6,8.55
tm721687,tt13913068,6.4,1831,0.0,3.79
tm40103,tt0095262,7.3,1766,2.3,8.092
tm125985,tt0159510,7.2,1323,7.2,13.125
ts2760,tt0329829,6.1,1829,0.0,37.647
tm21953,tt0307403,7.2,678,7.2,1.843
tm126769,tt0089108,8.0,6573,0.0,7.81
tm152839,tt0259057,6.1,368,7.2,2.482
tm49037,tt0159511,7.6,1288,5.6,12.741
tm62924,tt0084352,7.9,15312,3.5,6.833
tm52815,tt0208903,6.5,1504,9.5,7.879
tm159912,tt0098999,7.6,9059,0.0,4.062
tm133914,tt0213984,8.1,1540,6.9,1.801
tm38736,tt0096286,6.7,513,5.5,1.485
tm51083,tt0096179,6.0,399,6.6,1.01
tm137013,tt0098237,7.2,879,5.9,1.981
tm157603,tt0099429,6.6,5406,6.5,3.992
tm258072,tt0090589,7.0,214,7.0,1.603
tm114356,tt0091106,6.0,953,6.1,2.296
tm157853,tt0099396,5.5,214,4.9,2.444
tm132164,,,,7.5,3.377
tm446654,tt0097926,5.4,216,0.0,1.418
tm348735,tt0177505,5.4,100,0.0,1.374
tm151332,tt0099858,6.5,702,8.2,0.817
tm342996,tt0301231,6.4,250,8.7,1.394
tm24110,tt0094052,6.3,374,6.8,2.76
tm371359,tt0239495,5.1,130,9.0,3.366
tm55091,tt0095945,7.2,145,8.0,2.246
ts63001,tt5944220,3.8,6,0.0,1.4
tm311264,tt0239682,4.9,71,6.1,2.236
tm411457,tt0358053,6.1,70,5.7,1.756
tm172482,tt0170148,6.0,330,7.0,6.052
tm419052,tt0379272,6.4,77,6.0,0.986
tm47673,tt0084042,7.3,1164,5.0,1.77
tm52274,tt0084492,6.5,156,6.6,1.956
tm147829,tt0100848,6.1,480,5.7,2.075
ts20981,tt0239195,7.5,25161,0.0,54.19
tm107744,tt0117060,7.1,427255,6.9,41.115
ts22176,tt0118480,8.4,93965,0.0,88.851
tm15897,tt0114369,8.6,1641689,8.352,51.633
ts21223,tt14053732,7.6,125,0.0,115.356
tm191013,tt0118749,7.9,266632,7.6,20.436
tm122434,tt0109830,8.8,2064260,5.3,63.449
